岗位ID,发布日期,年月,城市,城市等级,行业,岗位名称,劳动类型,技能方向,结算方式,时薪_元,参考日薪_元,预计月收入_元,每周工时,招聘人数,岗位热度指数,远程办公,经验要求,学历要求,技能门槛_1至5,成长潜力_1至5,高考毕业生适配,培训后可胜任,企业名称,企业类型,公司规模,数据性质,薪资口径说明
PT202511016292,2025-11-03,2025-11,武汉,新一线,文化传媒,AI文案创作助理,脑力劳动,AIGC,项目结,150.6,904,9129,14,1,95.9,是,有作品集优先,高中/中专及以上,5,5,需培训后,是,新橙教育有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511016733,2025-11-03,2025-11,杭州,新一线,物流仓储,快递打包员,体力劳动,基础服务,周结,32.3,129,1958,14,1,63.0,否,有相关经验优先,高中/中专及以上,2,1,是,是,远望教育有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511016753,2025-11-03,2025-11,重庆,新一线,办公自动化,AI工作流自动化助理,脑力劳动,Python+AIGC,周结,213.6,1709,8324,9,2,89.7,是,有作品集优先,高中/中专及以上,5,4,是,是,远望数字创意有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511016812,2025-11-03,2025-11,深圳,一线,会展活动,活动执行助理,体力劳动,基础服务,小时结,37.7,226,5224,32,8,75.3,否,无需经验,不限,2,3,是,是,远望网络技术有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511018949,2025-11-03,2025-11,上海,一线,市场调研,问卷数据整理员,脑力劳动,普通数字岗位,项目结,44.8,358,2328,12,4,65.5,是,无需经验,不限,3,2,是,是,方舟企业服务有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511019451,2025-11-03,2025-11,石家庄,二线,数据服务,Python数据清洗助理,脑力劳动,Python,周结,105.6,845,3658,8,4,82.8,否,有作品集优先,高中/中专及以上,4,3,需培训后,是,远望数字创意有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511019625,2025-11-03,2025-11,郑州,二线,品牌营销,AI创意策划助理,脑力劳动,AIGC,项目结,121.7,487,10012,19,1,96.3,否,有课程项目经验,不限,4,5,需培训后,是,青禾文化传媒有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511021395,2025-11-03,2025-11,长沙,新一线,教育服务,线上课程助教,脑力劳动,普通数字岗位,周结,49.3,197,3629,17,4,76.5,是,有相关经验优先,高中/中专及以上,2,3,是,是,跃迁数字创意有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511021859,2025-11-03,2025-11,广州,一线,会展活动,展会协助员,体力劳动,基础服务,小时结,39.2,314,2546,15,2,68.8,否,无需经验,高中/中专及以上,1,1,是,是,云图网络技术有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511022625,2025-11-03,2025-11,苏州,新一线,电子商务,商品信息录入员,脑力劳动,普通数字岗位,项目结,34.0,136,3386,23,4,68.9,否,无需经验,不限,2,3,是,是,智谷数字创意有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511023337,2025-11-03,2025-11,北京,一线,物流仓储,仓库分拣员,体力劳动,基础服务,小时结,27.5,110,1905,16,7,60.2,否,有相关经验优先,不限,1,3,是,是,智谷数字创意有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511023387,2025-11-03,2025-11,杭州,新一线,商超零售,商超理货员,体力劳动,基础服务,周结,33.9,271,2495,17,4,54.2,否,无需经验,不限,2,3,是,是,跃迁企业服务有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511023730,2025-11-03,2025-11,重庆,新一线,电子商务,智能选品工具开发,脑力劳动,Python+AIGC,项目结,190.2,1522,13177,16,5,93.2,是,有作品集优先,高中/中专及以上,4,5,需培训后,是,新域文化传媒有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511023873,2025-11-03,2025-11,昆明,二线,数据服务,多模态数据处理助理,脑力劳动,Python+AIGC,周结,182.3,1094,17366,22,2,85.1,是,有课程项目经验,高中/中专及以上,5,4,是,是,知行企业服务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511024734,2025-11-03,2025-11,贵阳,二线,电子商务,商品信息录入员,脑力劳动,普通数字岗位,项目结,38.1,229,3134,19,5,77.8,否,有相关经验优先,大专及以上,1,2,是,是,智谷数字创意有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511025260,2025-11-03,2025-11,上海,一线,物流仓储,仓库分拣员,体力劳动,基础服务,小时结,35.1,211,4863,32,6,66.3,否,无需经验,不限,2,2,是,是,数创企业服务有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511027018,2025-11-03,2025-11,武汉,新一线,软件开发,大模型API接入助理,脑力劳动,Python+AIGC,小时结,225.6,1805,15630,16,1,98.6,是,有作品集优先,大专及以上,4,4,需培训后,是,晨光电子商务有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511027277,2025-11-03,2025-11,杭州,新一线,商超零售,门店促销员,体力劳动,基础服务,日结,42.5,255,4601,25,8,71.9,否,无需经验,高中/中专及以上,1,3,是,是,博思教育有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511028209,2025-11-03,2025-11,重庆,新一线,文化传媒,批量内容生成工具开发,脑力劳动,Python+AIGC,周结,194.7,1558,16861,20,2,97.4,否,无需经验,不限,5,4,需培训后,是,方舟电子商务有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511029498,2025-11-03,2025-11,苏州,新一线,教育服务,教室管理助理,体力劳动,基础服务,小时结,38.1,229,3629,22,1,59.7,否,无需经验,不限,2,2,是,是,晨光教育有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511029876,2025-11-03,2025-11,深圳,一线,电子商务,电商数据分析助理,脑力劳动,Python,周结,113.5,681,9829,20,1,73.3,否,无需经验,高中/中专及以上,3,5,需培训后,是,新域电子商务有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511029950,2025-11-03,2025-11,成都,新一线,企业服务,AI数据分析应用助理,脑力劳动,Python+AIGC,小时结,268.1,1609,27861,24,5,90.2,否,有作品集优先,高中/中专及以上,4,5,需培训后,是,知行文化传媒有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511000002,2025-11-04,2025-11,昆明,二线,电子商务,AI商品图设计,脑力劳动,AIGC,项目结,109.1,436,11810,25,3,87.9,是,有作品集优先,高中/中专及以上,3,5,需培训后,是,跃迁网络技术有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511000236,2025-11-04,2025-11,上海,一线,商超零售,商超理货员,体力劳动,基础服务,日结,33.7,202,3210,22,6,48.1,否,有相关经验优先,高中/中专及以上,1,2,是,是,新域企业服务有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511001755,2025-11-04,2025-11,南昌,二线,企业服务,AI数据分析应用助理,脑力劳动,Python+AIGC,项目结,214.3,857,8351,9,5,91.2,是,有作品集优先,高中/中专及以上,5,4,需培训后,是,青禾企业服务有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511002600,2025-11-04,2025-11,昆明,二线,游戏动漫,AI角色素材制作,脑力劳动,AIGC,周结,138.0,552,9561,16,3,84.8,是,有作品集优先,大专及以上,3,5,需培训后,是,远望数字创意有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511004098,2025-11-04,2025-11,杭州,新一线,教育科技,AI学习工具开发助理,脑力劳动,Python+AIGC,周结,185.9,1115,12074,15,3,93.8,是,有作品集优先,大专及以上,5,5,需培训后,是,新域文化传媒有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511004544,2025-11-04,2025-11,西安,新一线,文化传媒,批量内容生成工具开发,脑力劳动,Python+AIGC,项目结,224.2,897,19416,20,2,90.0,是,有课程项目经验,不限,5,5,需培训后,是,星河数字创意有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511005343,2025-11-04,2025-11,上海,一线,本地生活,搬运协助员,体力劳动,基础服务,小时结,42.2,253,2193,12,7,69.2,否,无需经验,不限,2,3,是,是,数创文化传媒有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511005914,2025-11-04,2025-11,郑州,二线,数据服务,多模态数据处理助理,脑力劳动,Python+AIGC,项目结,195.6,1565,10163,12,1,86.3,是,有作品集优先,高中/中专及以上,5,4,需培训后,是,灵犀企业服务有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511006195,2025-11-04,2025-11,青岛,二线,本地生活,搬运协助员,体力劳动,基础服务,小时结,30.3,182,1574,12,6,56.7,否,无需经验,不限,2,1,是,是,晨光数字创意有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511008282,2025-11-04,2025-11,青岛,二线,文旅服务,景区引导员,体力劳动,基础服务,周结,34.7,139,3907,26,5,73.5,否,无需经验,不限,1,2,是,是,智谷文化传媒有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511008639,2025-11-04,2025-11,南昌,二线,电子商务,AI商品图设计,脑力劳动,AIGC,周结,116.2,930,10566,21,5,92.6,否,有课程项目经验,高中/中专及以上,3,5,需培训后,是,新橙网络技术有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511009438,2025-11-04,2025-11,武汉,新一线,本地生活,校园配送员,体力劳动,基础服务,日结,31.2,125,2162,16,1,49.5,否,无需经验,高中/中专及以上,1,2,是,是,知行信息服务有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511009755,2025-11-04,2025-11,青岛,二线,会展活动,活动执行助理,体力劳动,基础服务,周结,31.8,254,1928,14,1,50.9,否,无需经验,不限,2,1,是,是,知行文化传媒有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511011207,2025-11-04,2025-11,郑州,二线,游戏动漫,AI角色素材制作,脑力劳动,AIGC,小时结,137.6,550,14299,24,3,84.5,否,无需经验,不限,5,4,需培训后,是,明途电子商务有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511011360,2025-11-04,2025-11,西安,新一线,企业服务,提示词优化助理,脑力劳动,AIGC,项目结,105.9,635,5503,12,4,94.6,否,有课程项目经验,高中/中专及以上,4,4,是,是,明途科技有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511011412,2025-11-04,2025-11,南昌,二线,物流仓储,仓库分拣员,体力劳动,基础服务,小时结,24.2,145,1467,14,6,54.9,否,无需经验,高中/中专及以上,2,3,是,是,灵犀信息服务有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511011789,2025-11-04,2025-11,苏州,新一线,会展活动,展会协助员,体力劳动,基础服务,日结,32.0,192,3880,28,7,64.8,否,无需经验,不限,2,1,是,是,海纳科技有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511012014,2025-11-04,2025-11,济南,二线,品牌营销,AI创意策划助理,脑力劳动,AIGC,项目结,104.6,628,4529,10,5,75.9,是,有课程项目经验,不限,4,5,需培训后,是,云杉科技有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511013608,2025-11-04,2025-11,郑州,二线,客户服务,在线客服,脑力劳动,普通数字岗位,项目结,35.1,211,1520,10,1,79.7,否,无需经验,不限,2,2,是,是,方舟电子商务有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511014792,2025-11-04,2025-11,成都,新一线,教育服务,教室管理助理,体力劳动,基础服务,日结,26.8,214,3249,28,2,60.2,否,无需经验,不限,1,2,是,是,明途科技有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511014997,2025-11-04,2025-11,昆明,二线,物流仓储,快递打包员,体力劳动,基础服务,小时结,24.0,144,2494,24,2,73.1,否,有相关经验优先,高中/中专及以上,2,1,是,是,博思企业服务有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511015580,2025-11-04,2025-11,济南,二线,本地生活,校园配送员,体力劳动,基础服务,日结,25.3,101,2191,20,7,72.5,否,无需经验,不限,1,2,是,是,方舟网络技术有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511016328,2025-11-04,2025-11,上海,一线,游戏动漫,AI角色素材制作,脑力劳动,AIGC,小时结,124.8,749,12429,23,4,77.0,是,有作品集优先,高中/中专及以上,5,4,需培训后,是,数创企业服务有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511017076,2025-11-04,2025-11,武汉,新一线,教育科技,Python编程助教,脑力劳动,Python,小时结,73.1,585,7280,23,5,89.9,是,有课程项目经验,大专及以上,4,3,需培训后,是,远望电子商务有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511018080,2025-11-04,2025-11,石家庄,二线,企业服务,智能客服搭建助理,脑力劳动,Python+AIGC,项目结,147.3,884,10205,16,4,89.8,否,有课程项目经验,高中/中专及以上,5,4,需培训后,是,方舟教育有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511018450,2025-11-04,2025-11,上海,一线,客户服务,在线客服,脑力劳动,普通数字岗位,项目结,53.5,321,5328,23,1,70.9,否,有相关经验优先,不限,2,2,是,是,数创网络技术有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511018603,2025-11-04,2025-11,武汉,新一线,办公自动化,AI工作流自动化助理,脑力劳动,Python+AIGC,项目结,161.2,1290,10470,15,2,83.4,是,有课程项目经验,大专及以上,5,5,需培训后,是,灵犀文化传媒有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511019782,2025-11-04,2025-11,上海,一线,餐饮,饮品店店员,体力劳动,基础服务,小时结,33.8,135,4391,30,5,63.8,否,无需经验,不限,2,1,是,是,新域电子商务有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511019830,2025-11-04,2025-11,南昌,二线,物流仓储,快递打包员,体力劳动,基础服务,小时结,27.1,217,3286,28,4,75.7,否,无需经验,不限,1,1,是,是,方舟科技有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511019885,2025-11-04,2025-11,济南,二线,办公服务,表格数据处理员,脑力劳动,普通数字岗位,周结,40.9,245,3896,22,3,59.6,否,无需经验,大专及以上,2,3,是,是,方舟数字创意有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511019949,2025-11-04,2025-11,石家庄,二线,会展活动,展会协助员,体力劳动,基础服务,日结,26.1,157,2486,22,8,51.4,否,无需经验,不限,1,3,是,是,晨光文化传媒有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511020299,2025-11-04,2025-11,北京,一线,文化传媒,AI文案创作助理,脑力劳动,AIGC,周结,110.1,661,11442,24,5,81.0,是,有课程项目经验,高中/中专及以上,5,4,需培训后,是,跃迁企业服务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511020966,2025-11-04,2025-11,合肥,二线,商超零售,门店促销员,体力劳动,基础服务,日结,30.3,121,3411,26,6,65.0,否,无需经验,不限,1,3,是,是,新域网络技术有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511021142,2025-11-04,2025-11,长沙,新一线,广告设计,AI绘图设计助理,脑力劳动,AIGC,周结,130.8,523,13593,24,2,76.9,是,有作品集优先,高中/中专及以上,5,4,需培训后,是,数创企业服务有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511021469,2025-11-04,2025-11,南京,新一线,数据服务,Python数据清洗助理,脑力劳动,Python,周结,119.5,717,9831,19,5,87.1,否,有作品集优先,大专及以上,3,4,需培训后,部分,跃迁网络技术有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511022419,2025-11-04,2025-11,合肥,二线,本地生活,搬运协助员,体力劳动,基础服务,日结,29.6,118,1923,15,1,54.8,否,无需经验,不限,2,2,是,是,启航信息服务有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511024376,2025-11-04,2025-11,重庆,新一线,电子商务,AI商品图设计,脑力劳动,AIGC,项目结,141.2,847,12228,20,3,95.5,否,有作品集优先,高中/中专及以上,5,4,需培训后,部分,云图文化传媒有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511024921,2025-11-04,2025-11,武汉,新一线,软件开发,Python开发助理,脑力劳动,Python,项目结,112.1,448,9222,19,5,86.8,是,有作品集优先,不限,3,4,需培训后,是,跃迁数字创意有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511025095,2025-11-04,2025-11,济南,二线,文旅服务,景区引导员,体力劳动,基础服务,小时结,26.9,215,2213,19,7,57.8,否,有相关经验优先,高中/中专及以上,2,1,是,是,新域信息服务有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511025672,2025-11-04,2025-11,合肥,二线,游戏动漫,AI角色素材制作,脑力劳动,AIGC,小时结,125.2,1002,8674,16,1,96.1,是,有课程项目经验,高中/中专及以上,4,4,是,部分,极光数字创意有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511027388,2025-11-04,2025-11,石家庄,二线,办公自动化,AI工作流自动化助理,脑力劳动,Python+AIGC,项目结,191.7,1534,14941,18,3,92.0,是,有课程项目经验,大专及以上,5,5,是,是,智谷信息服务有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511027568,2025-11-04,2025-11,合肥,二线,广告设计,平面素材处理助理,脑力劳动,普通数字岗位,小时结,28.0,224,1212,10,5,54.7,是,有作品优先,高中/中专及以上,2,3,是,是,明途数字创意有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511027621,2025-11-04,2025-11,南京,新一线,本地生活,校园配送员,体力劳动,基础服务,日结,29.3,234,3425,27,8,64.2,否,有相关经验优先,不限,2,3,是,是,云杉电子商务有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511027872,2025-11-04,2025-11,重庆,新一线,文化传媒,批量内容生成工具开发,脑力劳动,Python+AIGC,项目结,150.5,1204,11078,17,2,86.7,是,有作品集优先,不限,5,5,是,是,明途文化传媒有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511028690,2025-11-04,2025-11,长沙,新一线,短视频,AI视频制作助理,脑力劳动,AIGC,项目结,103.9,416,8998,20,5,83.6,是,有课程项目经验,高中/中专及以上,5,5,需培训后,是,新橙网络技术有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511000494,2025-11-05,2025-11,南京,新一线,办公自动化,AI工作流自动化助理,脑力劳动,Python+AIGC,项目结,282.1,1128,24430,20,1,96.3,否,有课程项目经验,高中/中专及以上,5,5,需培训后,是,远望网络技术有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511000501,2025-11-05,2025-11,贵阳,二线,市场调研,问卷数据整理员,脑力劳动,普通数字岗位,小时结,36.1,144,1563,10,3,57.4,否,无需经验,高中/中专及以上,3,2,是,是,远望文化传媒有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511000703,2025-11-05,2025-11,昆明,二线,电子商务,店铺运营助理,脑力劳动,普通数字岗位,周结,31.8,127,2065,15,4,73.8,否,有相关经验优先,不限,3,2,是,是,明途信息服务有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511001017,2025-11-05,2025-11,南京,新一线,办公服务,表格数据处理员,脑力劳动,普通数字岗位,项目结,34.6,208,4045,27,2,74.2,否,无需经验,不限,1,3,是,是,博思电子商务有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511001838,2025-11-05,2025-11,北京,一线,数字营销,AIGC内容运营,脑力劳动,AIGC,项目结,176.7,707,11477,15,4,86.4,否,有作品集优先,不限,3,4,需培训后,是,知行企业服务有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511001907,2025-11-05,2025-11,西安,新一线,企业服务,AI数据分析应用助理,脑力劳动,Python+AIGC,项目结,175.5,702,13678,18,2,97.4,是,有作品集优先,不限,5,5,需培训后,部分,星河网络技术有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511003550,2025-11-05,2025-11,杭州,新一线,电子商务,电商数据分析助理,脑力劳动,Python,项目结,92.6,370,9623,24,5,76.1,是,有课程项目经验,不限,4,3,需培训后,是,星河文化传媒有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511004730,2025-11-05,2025-11,北京,一线,商超零售,门店促销员,体力劳动,基础服务,日结,32.9,263,2279,16,6,69.4,否,无需经验,高中/中专及以上,1,1,是,是,方舟企业服务有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511006431,2025-11-05,2025-11,深圳,一线,本地生活,校园配送员,体力劳动,基础服务,小时结,34.5,276,2091,14,4,64.9,否,无需经验,不限,2,1,是,是,知行文化传媒有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511006820,2025-11-05,2025-11,上海,一线,教育科技,AI学习工具开发助理,脑力劳动,Python+AIGC,项目结,267.3,1604,24306,21,4,91.7,是,有作品集优先,大专及以上,4,4,需培训后,是,未来电子商务有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511007195,2025-11-05,2025-11,合肥,二线,数据服务,Python数据清洗助理,脑力劳动,Python,项目结,89.0,712,7707,20,5,74.5,否,有课程项目经验,高中/中专及以上,3,4,需培训后,是,智谷企业服务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511007392,2025-11-05,2025-11,西安,新一线,广告设计,AI绘图设计助理,脑力劳动,AIGC,项目结,94.1,753,4482,11,4,93.3,是,有作品集优先,高中/中专及以上,5,5,是,是,云图科技有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511007646,2025-11-05,2025-11,济南,二线,餐饮,饮品店店员,体力劳动,基础服务,小时结,21.2,170,2387,26,8,63.2,否,无需经验,不限,1,2,是,是,远望电子商务有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511008053,2025-11-05,2025-11,昆明,二线,企业服务,智能客服搭建助理,脑力劳动,Python+AIGC,项目结,214.5,1287,19504,21,3,87.4,是,有课程项目经验,高中/中专及以上,5,5,需培训后,是,博思电子商务有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511008238,2025-11-05,2025-11,广州,一线,数据服务,数据分析助理,脑力劳动,Python,小时结,131.6,1053,11966,21,1,75.6,是,有作品集优先,大专及以上,3,5,需培训后,是,数创网络技术有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511008250,2025-11-05,2025-11,深圳,一线,企业服务,AI数据分析应用助理,脑力劳动,Python+AIGC,项目结,217.7,1306,23566,25,4,83.9,否,有作品集优先,高中/中专及以上,5,4,需培训后,是,极光数字创意有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511009571,2025-11-05,2025-11,郑州,二线,教育科技,AI学习工具开发助理,脑力劳动,Python+AIGC,项目结,211.2,845,19204,21,5,97.7,是,无需经验,大专及以上,5,4,需培训后,是,云杉数字创意有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511009908,2025-11-05,2025-11,合肥,二线,软件开发,Python开发助理,脑力劳动,Python,项目结,94.5,567,3683,9,1,90.9,是,有课程项目经验,高中/中专及以上,4,3,需培训后,是,未来信息服务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511009987,2025-11-05,2025-11,广州,一线,会展活动,展会协助员,体力劳动,基础服务,小时结,31.3,188,3388,25,5,53.7,否,有相关经验优先,不限,2,2,是,是,明途科技有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511010239,2025-11-05,2025-11,西安,新一线,数据服务,公开数据采集助理,脑力劳动,Python,项目结,88.5,708,3832,10,3,83.7,否,有作品集优先,大专及以上,4,4,是,是,未来教育有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202511011174,2025-11-05,2025-11,武汉,新一线,软件开发,Web后端开发助理,脑力劳动,Python,小时结,90.4,362,6263,16,2,72.1,是,有课程项目经验,大专及以上,4,3,需培训后,是,明途网络技术有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
